a contract,un contrat
an assurance,un engagement
to engage(attention),retenir(l'attention)
to provision,approvisionner
to resolve,résoudre
to cancel,annuler
to provide,pourvoir
to consume,consommer
fad,manie
consumer,consommateur
to imply,insinuer
to require,requérir
to characterize(somone),être typique de (quelqu'un)
to gather,rassembler
to attend,assister
attendance,assiduité
a register, un regitre
to register,enregistrer
to allocate,allouer
to display,étaler
a display,un affichage
a failure, un échec
to search,rechercher
to recur,se reproduire
to afford,se permettre
a glimpse,un regard furtif
to practice, pratiquer
to reinforce,renforcer
a network,un réseau
to process,traiter
a skill,un talent
a software,un logiciel
a store, un magasin
to revise,améliorer
commensurate,proportionné
to submit,soumettre
an ability,une aptitude
a background,un fond
to succeed,réussir
to be aware,être conscient
to raise,lever
an achievement,une réalisation
dedication,consécration
obviously,évidemment
promote,promouvoir
value,valeur
to bargain,marchander
a behavior,une attitude
to expand,étendre
an item,un élément
mandatory,obligatoire
a trend, une mode
an expansion,un développement
everyday,quotidien
a prerequisite,un prérequis
smooth,sans anicroche
carrier,porteur
to fulfill,remplir
to supply,fournir
accuracy,précision
to suffice,suffire
efficient,efficace
mistake,erreur
to prompt,inciter à
a discrepancy,une incohérence
to disturb,déranger
a liability,un désavantage
tedious,pénible
balance,équilibre
to borrow,emprunter
a mortgage,l'hypothèque
restricted,limité
to be cautious,être prudent
an asset,un avantage
a debt,une dette
to fund,financer
to commit,s'engager
wisdom,sagesse
forecast,des prévisions
overall,dans l'ensemble
target,cible
to yield,rapporter
to hemper,restreindre
a lobby, un hall
agenda,l'ordre du jour
a goal,un but
length,longueur
prior,avant
prioritize,mettre en priorité
to enhance,améliorer
to perceive,pervecoir
anxious,anxieux
to assume,supposer




